OBJECTID,subcatchments_recon_aa_20211027_Id,subcatchments_recon_aa_20211027_Shape_Area,gridcode_float,AREA,PERCENTAGE
520,14,0.000006131842953,36,0.000000142139203,2.318050277477527
521,14,0.000006131842953,37,0.000000209154804,3.410961527446113
522,14,0.000006131842953,38,0.000000137331059,2.239637584154195
523,14,0.000006131842953,39,0.000000053302201,0.869268854060899
524,14,0.000006131842953,40,0.000000035534801,0.579512569246511
525,14,0.000006131842953,41,0.000000062185901,1.014146995965688
526,14,0.000006131842953,42,0.000000028185841,0.459663454070220
527,14,0.000006131842953,43,0.000000017767400,0.289756284552263
528,14,0.000006131842953,44,0.000000017767400,0.289756284868997
529,14,0.000006131842953,45,0.000000008883700,0.144878142297975
530,14,0.000006131842953,46,0.000000008883700,0.144878142571022
531,18,0.000000083869132,5,0.000000005948418,7.092499652934429
532,18,0.000000083869132,6,0.000000002981201,3.554586277144997
533,18,0.000000083869132,8,0.000000008188290,9.763174867846590
534,18,0.000000083869132,10,0.000000018465822,22.017423229763143
535,18,0.000000083869132,12,0.000000000415515,0.495432980159684
536,19,0.000001395617659,10,0.000000008883700,0.636542544417406
537,19,0.000001395617659,12,0.000000113940285,8.164147562707774
538,19,0.000001395617659,13,0.000000070197048,5.029819419112225
539,19,0.000001395617659,14,0.000000144064104,10.322605413233589
540,19,0.000001395617659,15,0.000000080150878,5.743039829082504
541,19,0.000001395617659,16,0.000000056793332,4.069404832536905
542,19,0.000001395617659,17,0.000000070216741,5.031230487727135
543,19,0.000001395617659,18,0.000000070453268,5.048178333587688
544,19,0.000001395617659,19,0.000000099812083,7.151821455128624
545,19,0.000001395617659,20,0.000000058237433,4.172878783035461
546,19,0.000001395617659,21,0.000000048470042,3.473017273808839
547,19,0.000001395617659,22,0.000000017767400,1.273085089218705
548,19,0.000001395617659,23,0.000000056643503,4.058669103710435
549,19,0.000001395617659,24,0.000000044418501,3.182712723910522
550,19,0.000001395617659,25,0.000000042983752,3.079908834435053
551,19,0.000001395617659,26,0.000000037033798,2.653577662493577
552,19,0.000001395617659,27,0.000000037467213,2.684633034667966
553,19,0.000001395617659,28,0.000000014565047,1.043627278373936
554,19,0.000001395617659,29,0.000000074864127,5.364228952882788
555,19,0.000001395617659,30,0.000000117997887,8.454886329972725
556,19,0.000001395617659,31,0.000000035534801,2.546170178101503
557,19,0.000001395617659,32,0.000000036390164,2.607459406999422
558,19,0.000001395617659,33,0.000000005307989,0.380332637235731
559,19,0.000001395617659,34,0.000000031431048,2.252124560430004
560,19,0.000001395617659,35,0.000000006194246,0.443835423760676
561,19,0.000001395617659,36,0.000000008883700,0.636542545809019
562,19,0.000001395617659,37,0.000000006816819,0.488444575800902
563,19,0.000001395617659,38,0.000000000098824,0.007081010804186
564,20,0.000000105077516,3,0.000000008868844,8.440287529821608
565,20,0.000000105077516,4,0.000000005889451,5.604862721757262
566,20,0.000000105077516,5,0.000000017722833,16.866437250889202
567,20,0.000000105077516,6,0.000000006675763,6.353179292715619
568,20,0.000000105077516,7,0.000000017767301,16.908755982406415
569,20,0.000000105077516,8,0.000000008883700,8.454425346119022
570,20,0.000000105077516,10,0.000000002838112,2.700969456740985
571,21,0.000005293408054,1,0.000000008883700,0.167825719426313
572,21,0.000005293408054,2,0.000000035770148,0.675748931545103
573,21,0.000005293408054,3,0.000000036689537,0.693117494900103
574,21,0.000005293408054,4,0.000000021075605,0.398148118441182
575,21,0.000005293408054,5,0.000000044463068,0.839970533633867
576,21,0.000005293408054,6,0.000000036476665,0.689096025295341
577,21,0.000005293408054,7,0.000000061746981,1.166488218647515
578,21,0.000005293408054,8,0.000000066164571,1.249942762088932
579,21,0.000005293408054,9,0.000000054955718,1.038191604284513
580,21,0.000005293408054,10,0.000000053534670,1.011345994897930
581,21,0.000005293408054,11,0.000000075833702,1.432606382163700
582,21,0.000005293408054,12,0.000000136196767,2.572950470438463
583,21,0.000005293408054,13,0.000000095566464,1.805386309135879
584,21,0.000005293408054,14,0.000000212475333,4.013960958181483
585,21,0.000005293408054,15,0.000000181870519,3.435792548183059
586,21,0.000005293408054,16,0.000000173775389,3.282864036604970
587,21,0.000005293408054,17,0.000000182217939,3.442355789853063
588,21,0.000005293408054,18,0.000000202919545,3.833438557922919
589,21,0.000005293408054,19,0.000000124646557,2.354750588150656
590,21,0.000005293408054,20,0.000000187135564,3.535256726503054
591,21,0.000005293408054,21,0.000000189802749,3.585643642877753
592,21,0.000005293408054,22,0.000000115505817,2.182069011780741
593,21,0.000005293408054,23,0.000000101805736,1.923255011710347
594,21,0.000005293408054,24,0.000000171332104,3.236706906878053
595,21,0.000005293408054,25,0.000000172823828,3.264887692188605
596,21,0.000005293408054,26,0.000000091938957,1.736857546792269
597,21,0.000005293408054,27,0.000000226639274,4.281537929738334
598,21,0.000005293408054,28,0.000000133858949,2.528785760475822
599,21,0.000005293408054,29,0.000000085668386,1.618397548978098
600,21,0.000005293408054,30,0.000000131554675,2.485254741281772
601,21,0.000005293408054,31,0.000000198812618,3.755852870984317
602,21,0.000005293408054,32,0.000000177932363,3.361395185770904
603,21,0.000005293408054,33,0.000000128251672,2.422856335833749
604,21,0.000005293408054,34,0.000000155761891,2.942563455180037
605,21,0.000005293408054,35,0.000000219458440,4.145881777516049
606,21,0.000005293408054,36,0.000000059132744,1.117101560354989
607,21,0.000005293408054,37,0.000000128365127,2.424999658400671
608,21,0.000005293408054,38,0.000000164615922,3.109828688668084
609,21,0.000005293408054,39,0.000000115488102,2.181734355780927
610,21,0.000005293408054,40,0.000000098340269,1.857787416040211
611,21,0.000005293408054,41,0.000000079953301,1.510431476064041
612,21,0.000005293408054,42,0.000000077798999,1.469733633894549
613,21,0.000005293408054,43,0.000000079953301,1.510431477582255
614,21,0.000005293408054,44,0.000000035534801,0.671302878945127
615,21,0.000005293408054,45,0.000000048345689,0.913318764839504
616,21,0.000005293408054,46,0.000000035534801,0.671302878856565
617,27,0.000045396379281,1,0.000000011015024,0.024264102898553
618,27,0.000045396379281,3,0.000000072544373,0.159802111579603
619,27,0.000045396379281,4,0.000000051565919,0.113590379205605
620,27,0.000045396379281,5,0.000000130867882,0.288278237301727
621,27,0.000045396379281,6,0.000000240531025,0.529846274789195
622,27,0.000045396379281,7,0.000000274583411,0.604857513135485
623,27,0.000045396379281,8,0.000000383516482,0.844817335911244
624,27,0.000045396379281,9,0.000000463640294,1.021315578826757
625,27,0.000045396379281,10,0.000000450416987,0.992187030240977
626,27,0.000045396379281,11,0.000000774189653,1.705399561140857
627,27,0.000045396379281,12,0.000000831944562,1.832623163110448
628,27,0.000045396379281,13,0.000000962120401,2.119376954878699
629,27,0.000045396379281,14,0.000001027273447,2.262897314049997
630,27,0.000045396379281,15,0.000000703954793,1.550684887246695
631,27,0.000045396379281,16,0.000001101998082,2.427502147552455
632,27,0.000045396379281,17,0.000000748666398,1.649176454452086
633,27,0.000045396379281,18,0.000000852837562,1.878646658282709
634,27,0.000045396379281,19,0.000000962541696,2.120304991895259
635,27,0.000045396379281,20,0.000001036376062,2.282948725054462
636,27,0.000045396379281,21,0.000000881835600,1.942524082237980
637,27,0.000045396379281,22,0.000001008278269,2.221054376031085
638,27,0.000045396379281,23,0.000001053031397,2.319637410470563
639,27,0.000045396379281,24,0.000001126944140,2.482453793613801
640,27,0.000045396379281,25,0.000000921180678,2.029194162691659
641,27,0.000045396379281,26,0.000001272251939,2.802540553197506
642,27,0.000045396379281,27,0.000001196646536,2.635995546475355
643,27,0.000045396379281,28,0.000001345177733,2.963182865785484
644,27,0.000045396379281,29,0.000001290480219,2.842694152840898
645,27,0.000045396379281,30,0.000001541779324,3.396260556328275
646,27,0.000045396379281,31,0.000001798520291,3.961814399428012
647,27,0.000045396379281,32,0.000002087497508,4.598378860427479
648,27,0.000045396379281,33,0.000001576503214,3.472750997477827
649,27,0.000045396379281,34,0.000001612752712,3.552602073437816
650,27,0.000045396379281,35,0.000001793397975,3.950530864430835
651,27,0.000045396379281,36,0.000001596798619,3.517458097969794
652,27,0.000045396379281,37,0.000001713902106,3.775415865824623
653,27,0.000045396379281,38,0.000001352179557,2.978606615916928
654,27,0.000045396379281,39,0.000001361433076,2.998990442647448
655,27,0.000045396379281,40,0.000001348473328,2.970442464903530
656,27,0.000045396379281,41,0.000001030509219,2.270025132492827
657,27,0.000045396379281,42,0.000000920576442,2.027863139877348
658,27,0.000045396379281,43,0.000000666884562,1.469025883027679
659,27,0.000045396379281,44,0.000000426417608,0.939320744426885
660,27,0.000045396379281,45,0.000000284278405,0.626213829618907
661,27,0.000045396379281,46,0.000000284278405,0.626213829760531
662,27,0.000045396379281,47,0.000000177674003,0.391383643361710
663,27,0.000045396379281,48,0.000000159906603,0.352245279176310
664,27,0.000045396379281,49,0.000000177674003,0.391383643389740
665,27,0.000045396379281,50,0.000000062185901,0.136984275232363
666,27,0.000045396379281,51,0.000000044418501,0.097845910967299
667,27,0.000045396379281,53,0.000000017767400,0.039138364325549
668,27,0.000045396379281,54,0.000000026651101,0.058707546573888
669,27,0.000045396379281,55,0.000000008883700,0.019569182205557
670,27,0.000045396379281,56,0.000000008883700,0.019569182205557
671,27,0.000045396379281,57,0.000000000007423,0.000016351675783
672,27,0.000045396379281,58,0.000000017767400,0.039138364337351
673,27,0.000045396379281,59,0.000000008883700,0.019569182168676
674,27,0.000045396379281,60,0.000000017767400,0.039138364374232
675,28,0.000000291407759,3,0.000000063969415,21.951857226055775
676,28,0.000000291407759,4,0.000000038521344,13.219052222012687
677,28,0.000000291407759,5,0.000000059203398,20.316342426354105
678,28,0.000000291407759,6,0.000000008883700,3.048546199346054
679,28,0.000000291407759,7,0.000000024442473,8.387722232218882
680,28,0.000000291407759,8,0.000000003248027,1.114598560121259
681,28,0.000000291407759,9,0.000000008883700,3.048546199346054
682,28,0.000000291407759,10,0.000000008883700,3.048546199346054
683,28,0.000000291407759,11,0.000000032095348,11.013896088474686
684,28,0.000000291407759,12,0.000000043276653,14.850892651638798
685,29,0.000000483247878,3,0.000000027380753,5.665985064440755
686,29,0.000000483247878,4,0.000000019956356,4.129631480185219
687,29,0.000000483247878,5,0.000000238501208,49.353803435563350
688,29,0.000000483247878,6,0.000000071076001,14.707980035386923
689,29,0.000000483247878,7,0.000000024835094,5.139203941506075
690,29,0.000000483247878,8,0.000000057621359,11.923768638783407
691,29,0.000000483247878,9,0.000000000132481,0.027414764047680
692,29,0.000000483247878,11,0.000000005579574,1.154598674605705
693,29,0.000000483247878,12,0.000000001049681,0.217213701597861
694,29,0.000000483247878,13,0.000000033456296,6.923216330679328
695,29,0.000000483247878,20,0.000000000391757,0.081067510431348
696,29,0.000000483247878,21,0.000000003267318,0.676116419581613
697,30,0.000000586110082,1,0.000000006177692,1.054015620352756
698,30,0.000000586110082,2,0.000000017767400,3.031410118255907
